附件ID,头附件ID,类型,文件描述,上传用户名,上传时间,文件类型,文件内容,文件块序号,自动字段列表,表内关联附件ID列表,文件TXT
330339,-1,1,00000093_批价审批单[临港新城主城区WSW-C2-02地块小学核定内容：新增配电箱批价(变更增加)，批价单位：上海洲德电气成套有限公司、上海航仟机电设备有限公司、扬中市恒泰电器有限公司],管理员,2024-06-25 11:24:46,00000093_批价审批单[临港新城主城区WSW-C2-02地块小学核定内容：新增配电箱批价(变更增加)，批价单位：上海洲德电气成套有限公司、上海航仟机电设备有限公司、扬中市恒泰电器有限公司].pdf,NULL,1,,,
330338,-1,1,00000092_报价单[临港新城主城区WSW-C2-02地块小学项目电缆：上海朗达电缆(集团)有限公司],管理员,2024-06-25 11:24:41,00000092_报价单[临港新城主城区WSW-C2-02地块小学项目电缆：上海朗达电缆(集团)有限公司].pdf,NULL,1,,,
330337,-1,1,00000091_报价单[临港新城主城区WSW-C2-02地块小学项目电缆(无锡江南电缆有限公司)],管理员,2024-06-25 11:24:36,00000091_报价单[临港新城主城区WSW-C2-02地块小学项目电缆(无锡江南电缆有限公司)].pdf,NULL,1,,,
330336,-1,1,00000090_产品报价单[临港新城主城区WSW-C2-02地块小学项目电缆(上海起帆电缆股份有限公司)],管理员,2024-06-25 11:24:32,00000090_产品报价单[临港新城主城区WSW-C2-02地块小学项目电缆(上海起帆电缆股份有限公司)].pdf,NULL,1,,,
330335,-1,1,00000089_关于临港新城主城区WSW-C2-02地块小学项目电缆批价审核意见,管理员,2024-06-25 11:24:27,00000089_关于临港新城主城区WSW-C2-02地块小学项目电缆批价审核意见.pdf,NULL,1,,,
330334,-1,1,00000088_技术核定单[临港新城主城区WSW-C2-02地块小学核定内容：蓝图4号_5号楼(J2_J3_J8)进线电缆为三相四线制，按施工规范户内电缆改为三相五线制],管理员,2024-06-25 11:24:22,00000088_技术核定单[临港新城主城区WSW-C2-02地块小学核定内容：蓝图4号_5号楼(J2_J3_J8)进线电缆为三相四线制，按施工规范户内电缆改为三相五线制].pdf,NULL,1,,,
330333,-1,1,00000087_全国工业产品生产许可证(副本)复印件[上海朗达电缆(集团)有限公司],管理员,2024-06-25 11:24:18,00000087_全国工业产品生产许可证(副本)复印件[上海朗达电缆(集团)有限公司].pdf,NULL,1,,,
330332,-1,1,00000086_营业执照(副本)复印件[上海朗达电缆(集团)有限公司],管理员,2024-06-25 11:24:14,00000086_营业执照(副本)复印件[上海朗达电缆(集团)有限公司].pdf,NULL,1,,,
330331,-1,1,00000085_全国工业产品生产许可证(副本)复印件[无锡江南电缆有限公司],管理员,2024-06-25 11:24:10,00000085_全国工业产品生产许可证(副本)复印件[无锡江南电缆有限公司].pdf,NULL,1,,,
330330,-1,1,00000084_营业执照(副本)复印件[无锡江南电缆有限公司],管理员,2024-06-25 11:24:06,00000084_营业执照(副本)复印件[无锡江南电缆有限公司].pdf,NULL,1,,,
330329,-1,1,00000083_全国工业产品生产许可证(副本)复印件[上海起帆电缆股份有限公司],管理员,2024-06-25 11:24:02,00000083_全国工业产品生产许可证(副本)复印件[上海起帆电缆股份有限公司].pdf,NULL,1,,,
330328,-1,1,00000082_营业执照(副本)复印件[上海起帆电缆股份有限公司],管理员,2024-06-25 11:23:59,00000082_营业执照(副本)复印件[上海起帆电缆股份有限公司].pdf,NULL,1,,,
330327,-1,1,00000081_电缆批价表[临港新城主城区WSW-C2-02地块小学],管理员,2024-06-25 11:23:55,00000081_电缆批价表[临港新城主城区WSW-C2-02地块小学].pdf,NULL,1,,,
330326,-1,1,00000080_批价单[临港新城主城区WSW-C2-02地块小学安装工程电气核定内容：电缆报价单、厂家资质、技术核定单(电器-01第2_3条)],管理员,2024-06-25 11:23:51,00000080_批价单[临港新城主城区WSW-C2-02地块小学安装工程电气核定内容：电缆报价单、厂家资质、技术核定单(电器-01第2_3条)].pdf,NULL,1,,,
330325,-1,1,00000079_批价审批单[临港新城主城区WSW-C2-02地块小学核定内容电缆批价(技术核定单)，批价单位：上海起帆电缆股份有限公司、无锡江南电缆有限公司、上海朗达电缆(集团)有限公司],管理员,2024-06-25 11:23:47,00000079_批价审批单[临港新城主城区WSW-C2-02地块小学核定内容电缆批价(技术核定单)，批价单位：上海起帆电缆股份有限公司、无锡江南电缆有限公司、上海朗达电缆(集团)有限公司].pdf,NULL,1,,,
330324,-1,1,00000078_临港新城主城区WSW-C2-02地块小学项目灯具增减帐,管理员,2024-06-25 11:23:43,00000078_临港新城主城区WSW-C2-02地块小学项目灯具增减帐.pdf,NULL,1,,,
330323,-1,1,00000077_报价单[临港新城主城区WSW-C2-02地块小学LED筒灯、平板灯、LEDD灯带、紫外线日光灯],管理员,2024-06-25 11:23:39,00000077_报价单[临港新城主城区WSW-C2-02地块小学LED筒灯、平板灯、LEDD灯带、紫外线日光灯].pdf,NULL,1,,,
